"gefrdypxyspb.tech","0","2016-12-01 00:00:00","2016-12-01 23:59:59","mirai_dga_c88d909d"
"qildykhleois.tech","0","2016-12-02 00:00:00","2016-12-02 23:59:59","mirai_dga_c88d909d"
"vmdefmnsndoj.tech","0","2016-12-04 00:00:00","2016-12-04 23:59:59","mirai_dga_c88d909d"
"xpknpxmywqsr.support","0","2016-12-05 00:00:00","2016-12-05 23:59:59","mirai_dga_c88d909d"
"kedbuffigfjs.online","0","2016-12-08 00:00:00","2016-12-08 23:59:59","mirai_dga_c88d909d"
"pjapobyvmsne.support","0","2016-12-09 00:00:00","2016-12-09 23:59:59","mirai_dga_c88d909d"
"bwhrdaumwuvn.support","0","2016-12-14 00:00:00","2016-12-14 23:59:59","mirai_dga_c88d909d"
"bpmsfckfkrpr.support","0","2016-12-19 00:00:00","2016-12-19 23:59:59","mirai_dga_c88d909d"
"oornsduuwjli.tech","0","2016-12-20 00:00:00","2016-12-20 23:59:59","mirai_dga_c88d909d"
"qjqubpciajoc.tech","0","2016-12-21 00:00:00","2016-12-21 23:59:59","mirai_dga_c88d909d"
"exvdaajegjur.support","0","2016-12-22 00:00:00","2016-12-22 23:59:59","mirai_dga_c88d909d"
"poorcetnmjfc.online","0","2016-12-24 00:00:00","2016-12-24 23:59:59","mirai_dga_c88d909d"
"ulficqrujekp.support","0","2016-12-25 00:00:00","2016-12-25 23:59:59","mirai_dga_c88d909d"
"qqnbfqrdjyjk.support","0","2016-12-27 00:00:00","2016-12-27 23:59:59","mirai_dga_c88d909d"
"aojpocslpwsu.support","0","2016-12-29 00:00:00","2016-12-29 23:59:59","mirai_dga_c88d909d"
"vtrndmhsgada.online","0","2016-12-31 00:00:00","2016-12-31 23:59:59","mirai_dga_c88d909d"
"nmrawjqbdgxi.tech","0","2017-01-01 00:00:00","2017-01-01 23:59:59","mirai_dga_c88d909d"
"sefdjnmvctwv.tech","0","2017-01-02 00:00:00","2017-01-02 23:59:59","mirai_dga_c88d909d"
"divitpvjexxh.tech","0","2017-01-04 00:00:00","2017-01-04 23:59:59","mirai_dga_c88d909d"
